"population_ID","species.updated","species","study_ID","reference_link","subset","trait","unit","mean","n","SD","comments","location","measurement_notes","pair_ID","sex","migratory","migratory.comments","feeding.type","feeding.type.comments","migratory.pop.level","feeding.type.pop.level","broader.comments","migratory.inc.vagrants.pop.level","migratory.inc.vagrants"
"1","Acanthis flammea","Acanthis flammea islandica","Amouret et al. 2016","https://doi.org/10.1080/00063657.2015.1125850","new","wing length","mm",78.54,33,1.52,NA,"11 sampling sites in Iceland, see table 1","Not tracked",1,"male","partially","some populations are resident year-round","no","","no","no","","no","partially"
"1","Acanthis flammea","Acanthis flammea islandica","Amouret et al. 2016","https://doi.org/10.1080/00063657.2015.1125850","new","wing length","mm",77.17,47,1.95,NA,"11 sampling sites in Iceland, see table 1","Not tracked",1,"female","partially","some populations are resident year-round","no","","no","no","","no","partially"
"2","Accipiter cooperii","Accipter cooperii","Marsh & Storer 1981","https://jeb.biologists.org/content/jexbio/91/1/363.full.pdf","R&E2013","wing length","mm",357,24,11.76,"Reported SE.male: 1.9, SE.female: 2.4, original SD.male: 8.7068938204161, SD.female: 11.7575507653592","No reference","Not tracked",8,"female","partially","some populations are resident year-round","yes","","no","yes","","no","partially"
"2","Accipiter cooperii","Accipter cooperii","Marsh & Storer 1981","https://jeb.biologists.org/content/jexbio/91/1/363.full.pdf","R&E2013","wing length","mm",314,21,8.71,"Reported SE.male: 1.9, SE.female: 2.4, original SD.male: 8.7068938204161, SD.female: 11.7575507653592","No reference","Not tracked",8,"male","partially","some populations are resident year-round","yes","","no","yes","","no","partially"
"3","Acrocephalus arundinaceus","Acrocephalus arundinaceus","Tarka et al. 2013","https://doi.org/10.1086/674072","new","wing length","mm",96.26,300,1.79,"Original reference: Tarka et al. 2013; ""Mean = mean of individual raw data means""; ""study included 557 unique birds (257 males and 300 females), out of which 44% were measured for morphology at least twice.""; reported df males = 410 and females = 480 (see table 2 and page 64)","Lake Kvismaren in southern central Sweden (59°10'N, 15°24'E),","""Wing length is measured from the carpal joint to the distal feather tip of a folded wing (Bensch et al. 1998)""",9,"female","yes","","partially","aerial and non-aerial","yes","no","","yes","yes"
"3","Acrocephalus arundinaceus","Acrocephalus arundinaceus","Tarka et al. 2013","https://doi.org/10.1086/674072","new","wing length","mm",100.41,257,2.03,"Original reference: Tarka et al. 2013; ""Mean = mean of individual raw data means""; ""study included 557 unique birds (257 males and 300 females), out of which 44% were measured for morphology at least twice.""; reported df males = 410 and females = 480 (see table 2 and page 64)","Lake Kvismaren in southern central Sweden (59°10'N, 15°24'E),","""Wing length is measured from the carpal joint to the distal feather tip of a folded wing (Bensch et al. 1998)""",9,"male","yes","","partially","aerial and non-aerial","yes","no","","yes","yes"
"4","Aegithalos caudatus","Aegithalos caudatus","Li et al. 2010","https://doi.org/10.2108/zsj.27.946","R&E2013","wing length","mm",56,60,1.4,NA,"Dongzhai National Nature Reserve (31.95°N, 114.25°E)","Not tracked",10,"female","no","","no","","no","no","","no","no"
"4","Aegithalos caudatus","Aegithalos caudatus","Li et al. 2010","https://doi.org/10.2108/zsj.27.946","R&E2013","wing length","mm",57.8,69,1.0982,NA,"Dongzhai National Nature Reserve (31.95°N, 114.25°E)","Not tracked",10,"male","no","","no","","no","no","","no","no"
"5","Aegithalos concinnus","Aegithalos concinnus","Li et al. 2010","https://doi.org/10.2108/zsj.27.946","R&E2013","wing length","mm",48.7,124,1.4,"Original SD.male: 1.26, SD.female: 1.4123","Dongzhai National Nature Reserve (31.95°N, 114.25°E)","Not tracked",11,"female","no","","no","","no","no","","no","no"
"5","Aegithalos concinnus","Aegithalos concinnus","Li et al. 2010","https://doi.org/10.2108/zsj.27.946","R&E2013","wing length","mm",50.4,172,1.3,"Original SD.male: 1.26, SD.female: 1.4123","Dongzhai National Nature Reserve (31.95°N, 114.25°E)","Not tracked",11,"male","no","","no","","no","no","","no","no"
"6","Agelaius phoeniceus","Agelaius phoeniceus","Weatherhead & Clark 1994","https://doi.org/10.2307/2410367","R&E2013","wing length","mm",100.36,298,2.17,"Means of estimates of Table 2 wild birds (second-year and older birds) and table 4 autumn and spring; original measurments: mean.male: 120.592652219317, n.male: 630, SD.male: 2.8425776429093, mean.female: 100.009312529869, n.female: 316, SD.female: 2.10588627474726","Queen's University Biological Station, Ontario","Not tracked",12,"female","partially","some populations are resident year-round","partially","aerial and non-aerial","no","no","","no","partially"
"6","Agelaius phoeniceus","Agelaius phoeniceus","Weatherhead & Clark 1994","https://doi.org/10.2307/2410367","R&E2013","wing length","mm",120.24,630,2.73,"Means of estimates of Table 2 wild birds (second-year and older birds) and table 4 autumn and spring; original measurments: mean.male: 120.592652219317, n.male: 630, SD.male: 2.8425776429093, mean.female: 100.009312529869, n.female: 316, SD.female: 2.10588627474726","Queen's University Biological Station, Ontario","Not tracked",12,"male","partially","some populations are resident year-round","partially","aerial and non-aerial","no","no","","no","partially"
"7","Agelaius phoeniceus","Agelaius phoeniceus","Westneat 2006","https://doi.org/10.1086/503385","new","wing length","mm",124.9,77,2.3,"No female measurements","Muhlenberg County, Kentucky","Not tracked",13,"male","partially","some populations are resident year-round","partially","aerial and non-aerial","no","no","","no","partially"
"7","Agelaius phoeniceus","Agelaius phoeniceus","Westneat 2006","https://doi.org/10.1086/503385","new","wing length","mm",125.1,97,2.9,"No female measurements","Muhlenberg County, Kentucky","Not tracked",14,"male","partially","some populations are resident year-round","partially","aerial and non-aerial","no","no","","no","partially"
"7","Agelaius phoeniceus","Agelaius phoeniceus","Westneat 2006","https://doi.org/10.1086/503385","new","wing length","mm",125.2,73,3.2,"No female measurements","Muhlenberg County, Kentucky","Not tracked",15,"male","partially","some populations are resident year-round","partially","aerial and non-aerial","no","no","","no","partially"
"7","Agelaius phoeniceus","Agelaius phoeniceus","Westneat 2006","https://doi.org/10.1086/503385","new","wing length","mm",125.9,89,2.3,"No female measurements","Muhlenberg County, Kentucky","Not tracked",16,"male","partially","some populations are resident year-round","partially","aerial and non-aerial","no","no","","no","partially"
"8","Alauda arvensis","Alauda arvensis","Møller 1991","https://doi.org/10.1007/BF00164379","new","wing length","mm",103.3,12,5.6,NA,"Kraghede (57°12'N, 10°00'E), Denmark","Not tracked",17,"female","partially","some populations are resident year-round","no","","no","no","","no","partially"
"8","Alauda arvensis","Alauda arvensis","Møller 1991","https://doi.org/10.1007/BF00164379","new","wing length","mm",114.1,33,4.6,NA,"Kraghede (57°12'N, 10°00'E), Denmark","Not tracked",17,"male","partially","some populations are resident year-round","no","","no","no","","no","partially"
"9","Alle alle","Alle alle","Jakubas & Wojczulanis 2007","https://doi.org/10.1675/1524-4695(2007)030[0092:PTSODB]2.0.CO;2","R&E2013","wing length","mm",125.6,181,2.87,NA,"Ariekammen slopes (77°00’N, 15°33’E) in Hornsund (South Spitsbergen)","Not tracked",18,"male","partially","some populations are resident year-round","yes","flying under water","no","yes","The population in Swalbard seems to be residents the others migrants","no","partially"
"9","Alle alle","Alle alle","Jakubas & Wojczulanis 2007","https://doi.org/10.1675/1524-4695(2007)030[0092:PTSODB]2.0.CO;2","R&E2013","wing length","mm",125.2,150,3.18,NA,"Ariekammen slopes (77°00’N, 15°33’E) in Hornsund (South Spitsbergen)","Not tracked",18,"female","partially","some populations are resident year-round","yes","flying under water","no","yes","The population in Swalbard seems to be residents the others migrants","no","partially"
"10","Alle alle","Alle alle","Roby et al. 1981","https://doi.org/10.14430/arctic2526 ","R&E2013","wing length","mm",123.1,117,2.73,"Original mean.male: 123.106411310382, original mean.female: 122.38786748062; original SD.male: 2.68977715119272, original SD.female: 2.47064535026648","Atholl Loran Station or 12 km southeast of Cape Atholl (76°18.5'N, 69°17'W) and 3 km west of Siorapaluk (77""47'N7, 0'45'W)","Not tracked",19,"male","partially","some populations are resident year-round","yes","flying under water","yes","yes","The population in Swalbard seems to be residents the others migrants","yes","partially"
"10","Alle alle","Alle alle","Roby et al. 1981","https://doi.org/10.14430/arctic2526 ","R&E2013","wing length","mm",122.4,92,2.95,"Original mean.male: 123.106411310382, original mean.female: 122.38786748062; original SD.male: 2.68977715119272, original SD.female: 2.47064535026648","Atholl Loran Station or 12 km southeast of Cape Atholl (76°18.5'N, 69°17'W) and 3 km west of Siorapaluk (77""47'N7, 0'45'W)","Not tracked",19,"female","partially","some populations are resident year-round","yes","flying under water","yes","yes","The population in Swalbard seems to be residents the others migrants","yes","partially"
"11","Ammodramus savannarum","Ammodramus savannarum ammolegus","Ruth 2017","https://doi.org/10.1674/0003-0031-178.1.64","new","wing chord","mm",62.7,106,1.5,"No female measurements","Southeastern Arizona: Audubon Appleton-Whittell Research Ranch (Audubon) (lat: 31°36'4''N; long:  -110°30'40''W; elev: 1497 m), Las Cienegas National Conservation Area (Davis) (lat: 31°41'42''N; long:  -110°35'46; elev: 1430 m)
elev: 1430 m), breeding seasons in 2009–2013","Not tracked",20,"male","partially","some populations are resident year-round","no","","yes","no","","yes","partially"
"13","Ammodramus savannarum","Ammodramus savannarum floridanus","Ruth 2017","https://doi.org/10.1674/0003-0031-178.1.64","new_21","wing chord","mm",59.7,99,1.4,"Estimates originally extracted by Ruth 2017 from Ragheb & Miller (unpub. data)","Florida","Not tracked",21,"male","partially","some populations are resident year-round","no","","yes","no","","yes","partially"
"14","Ammodramus savannarum","Ammodramus savannarum perpallidus","Ruth 2017","https://doi.org/10.1674/0003-0031-178.1.64","new_21","wing chord","mm",62.6,105,1.4,"Estimates originally extracted by Ruth 2017 from Boyle (unpub. data)","Kansas","Not tracked",22,"male","partially","some populations are resident year-round","no","","yes","no","","yes","partially"
"15","Ammodramus savannarum","Ammodramus savannarum perpallidus","Ruth 2017","https://doi.org/10.1674/0003-0031-178.1.64","new_21","wing chord","mm",62.1,42,2.2,"Estimates originally extracted by Ruth 2017 from Jones (unpub. data)","Montana","Not tracked",23,"male","partially","some populations are resident year-round","no","","yes","no","","yes","partially"
"16","Ammodramus savannarum","Ammodramus savannarum perpallidus","Ruth 2017","https://doi.org/10.1674/0003-0031-178.1.64","new_21","wing chord","mm",61.7,34,1.8,"Estimates originally extracted by Ruth 2017 from Collier 1994 (master's thesis); cannot find reference","California","Not tracked",24,"male","partially","some populations are resident year-round","no","","yes","no","","yes","partially"
