species.updated,migratory,migratory.comments,feeding.type.aerial,feeding.type.comments
Abrornis inornata,yes,,partially,aerial and non-aerial
Acanthis flammea,partially,some populations are resident year-round,no,
Accipiter cooperii,partially,some populations are resident year-round,yes,
Acrocephalus arundinaceus,yes,,partially,aerial and non-aerial
Aegithalos caudatus,no,,no,
Aegithalos concinnus,no,,no,
Agelaius phoeniceus,partially,some populations are resident year-round,partially,aerial and non-aerial
Alauda arvensis,partially,some populations are resident year-round,no,
Alle alle,partially,some populations are resident year-round,yes,flying under water
Ammodramus savannarum,partially,some populations are resident year-round,no,
Anas cyanoptera septentrionalium,partially,some populations are resident year-round,no,
Anas discors,yes,"although some populations are resident year-round, the resident area is very small",no,
Anous stolidus,no,"non-directional migration, but rather vagrancy during the non-breeding season",yes,"ocean surface feeding, can also fly under water"
Anthus berthelotii,no,,no,
Aphrastura spinicauda,no,,no,
Apus pallidus,yes,"although some populations are resident year-round, the resident area is very small",yes,
Apus unicolor,partially,some populations are resident year-round,yes,
Arizelocichla tephrolaema,no,,no,
Atlapetes melanolaemus,no,,no,
Augastes scutatus,no,,yes,
Basileuterus luteoviridis,no,,no,
Basileuterus signatus,no,,no,
Calidris alpina,yes,"although some populations are resident year-round, the resident area is very small",no,
Calidris fuscicollis,yes,,no,
Calidris maritima,yes,"although some populations are resident year-round, the resident area is very small",no,
Calidris mauri,yes,,no,
Calidris minuta,yes,,no,
Calidris pugnax,yes,,no,
Calidris pusilla,yes,,no,
Calidris temminckii,yes,,no,
Callipepla gambelii,no,,no,
Callipepla squamata,no,,no,
Calonectris diomedea,partially,"some populations are resident year-round, but there is seemingly directional migration from Europe to South America and Africa (and vice versa)",yes,"ocean surface feeding, can also fly under water"
Calypte anna,no,"wintering range covers breeding range, with only extreme northern and southern populations having the potential to migrate, otherwise, most birds are thought to remain in their breeding territory throughout the year",yes,
Carduelis citrinella,no,"categorized as altitude migrants by the iucn, which we do not consider to be equivalent to migratory",no,
Charadrius pecuarius,no,,no,
Charadrius semipalmatus,yes,,no,
Chersophilus duponti,no,,no,
Chionis minor,no,,no,
Chlidonias hybridus,partially,some populations are resident year-round,yes,
Chloris chloris,partially,some populations are resident year-round,no,
Chroicocephalus ridibundus,partially,some populations are resident year-round,partially,aerial and non-aerial
Cinclus cinclus,no,"there might be some migration in populations from the extremes of the distribution, but most individiduals and populations are seemingly resident",partially,non-aerial and flying under water
Circus aeruginosus,yes,"although some populations are resident year-round, the resident area is very small",yes,
Cyanistes caeruleus,no,,no,
Cyanistes teneriffae,no,,no,
Cyanopica cooki,no,"the populations studied in our database correspond to the Iberian azure-winged magpies, now called Cyanopica cooki, which are resident",no,
Cygnus atratus,no,,no,
Cygnus columbianus,yes,,no,
Cygnus cygnus,yes,"although some populations might be resident year-round, the resident area is seemingly very small",no,
Cygnus olor,partially,some populations are resident year-round,no,
Daption capense,partially,some populations are resident year-round,yes,"ocean surface feeding, can also fly under water"
Dendrocopos leucotos,no,,no,
Dendrocopos medius,no,,no,
Diglossopis cyanea,no,,no,
Dromas ardeola,partially,some populations are resident year-round,no,
Emberiza calandra,partially,some populations are resident year-round,no,
Emberiza citrinella,partially,some populations are resident year-round,no,
Emberiza schoeniclus,partially,some populations are resident year-round,no,
Empidonax minimus,yes,,yes,
Erithacus rubecula,partially,some populations are resident year-round,no,
Euplectes orix,no,,no,
Eurillas latirostris,no,"categorized as nomadic by the iucn, which we do not consider to be equivalent to migratory",no,
Falco columbarius,yes,"although some populations are resident year-round, the resident area is very small",yes,
Ficedula albicollis,yes,,yes,
Ficedula hypoleuca,yes,,yes,
Fratercula arctica,yes,,yes,flying under water
Fratercula cirrhata,partially,some populations are resident year-round,yes,flying under water
Fringilla coelebs,partially,some populations are resident year-round,no,
Fulica americana,partially,some populations are resident year-round,no,"although it dives, it seems to use mostly the feet for it"
