species,source,reference_link,population_ID,reference,trait,unit,mean.male,n.male,SD.male,mean.female,n.female,SD.female,comments,exclude,location,Measurement
Acanthis flammea islandica,Amouret et al. 2016,https://doi.org/10.1080/00063657.2015.1125850,1,new,wing length,mm,78.54,33,1.52,77.17,47,1.95,NA,No,"11 sampling sites in Iceland, see table 1",Not tracked
Accipter cooperii,Marsh & Storer 1981,https://jeb.biologists.org/content/jexbio/91/1/363.full.pdf,2,R&E2013,wing length,mm,314,21,8.71,357,24,11.76,"Reported SE.male: 1.9, SE.female: 2.4, original SD.male: 8.7068938204161, SD.female: 11.7575507653592",No,No reference,Not tracked
Acrocephalus arundinaceus,Tarka et al. 2013,https://doi.org/10.1086/674072,3,new,wing length,mm,100.41,257,2.03,96.26,300,1.79,"Original reference: Tarka et al. 2013; ""Mean = mean of individual raw data means""; ""study included 557 unique birds (257 males and 300 females), out of which 44% were measured for morphology at least twice.""; reported df males = 410 and females = 480 (see table 2 and page 64)",No,"Lake Kvismaren in southern central Sweden (59°10'N, 15°24'E),","""Wing length is measured from the carpal joint to the distal feather tip of a folded wing (Bensch et al. 1998)"""
Aegithalos caudatus,Li et al. 2010,https://doi.org/10.2108/zsj.27.946,4,R&E2013,wing length,mm,57.8,69,1.0982,56,60,1.4,NA,No,"Dongzhai National Nature Reserve (31.95°N, 114.25°E)",Not tracked
Aegithalos concinnus,Li et al. 2010,https://doi.org/10.2108/zsj.27.946,5,R&E2013,wing length,mm,50.4,172,1.3,48.7,124,1.4,"Original SD.male: 1.26, SD.female: 1.4123",No,"Dongzhai National Nature Reserve (31.95°N, 114.25°E)",Not tracked
Agelaius phoeniceus,Weatherhead & Clark 1994,https://doi.org/10.2307/2410367,6,R&E2013,wing length,mm,120.24,630,2.73,100.36,298,2.17,"Means of estimates of Table 2 wild birds (second-year and older birds) and table 4 autumn and spring; original measurments: mean.male: 120.592652219317, n.male: 630, SD.male: 2.8425776429093, mean.female: 100.009312529869, n.female: 316, SD.female: 2.10588627474726",No,"Queen's University Biological Station, Ontario",Not tracked
Agelaius phoeniceus,Westneat 2006,https://doi.org/10.1086/503385,7,new,wing length,mm,124.9,77,2.3,NA,NA,NA,No female measurements,No,"Muhlenberg County, Kentucky",Not tracked
Agelaius phoeniceus,Westneat 2006,https://doi.org/10.1086/503385,7,new,wing length,mm,125.1,97,2.9,NA,NA,NA,No female measurements,No,"Muhlenberg County, Kentucky",Not tracked
Agelaius phoeniceus,Westneat 2006,https://doi.org/10.1086/503385,7,new,wing length,mm,125.2,73,3.2,NA,NA,NA,No female measurements,No,"Muhlenberg County, Kentucky",Not tracked
Agelaius phoeniceus,Westneat 2006,https://doi.org/10.1086/503385,7,new,wing length,mm,125.9,89,2.3,NA,NA,NA,No female measurements,No,"Muhlenberg County, Kentucky",Not tracked
Alauda arvensis,Møller 1991,https://doi.org/10.1007/BF00164379,8,new,wing length,mm,114.1,33,4.6,103.3,12,5.6,NA,No,"Kraghede (57°12'N, 10°00'E), Denmark",Not tracked
Alle alle,Jakubas & Wojczulanis 2007,https://doi.org/10.1675/1524-4695(2007)030[0092:PTSODB]2.0.CO;2,9,R&E2013,wing length,mm,125.6,181,2.87,125.2,150,3.18,NA,No,"Ariekammen slopes (77°00’N, 15°33’E) in Hornsund (South Spitsbergen)",Not tracked
Alle alle,Roby et al. 1981,https://doi.org/10.14430/arctic2526 ,10,R&E2013,wing length,mm,123.1,117,2.73,122.4,92,2.95,"Original mean.male: 123.106411310382, original mean.female: 122.38786748062; original SD.male: 2.68977715119272, original SD.female: 2.47064535026648",No,"Atholl Loran Station or 12 km southeast of Cape Atholl (76°18.5'N, 69°17'W) and 3 km west of Siorapaluk (77""47'N7, 0'45'W)",Not tracked
Ammodramus savannarum ammolegus,Ruth 2017,https://doi.org/10.1674/0003-0031-178.1.64,11,new,wing chord,mm,62.7,106,1.5,NA,NA,NA,No female measurements,No,"Southeastern Arizona: Audubon Appleton-Whittell Research Ranch (Audubon) (lat: 31°36'4''N; long:  -110°30'40''W; elev: 1497 m), Las Cienegas National Conservation Area (Davis) (lat: 31°41'42''N; long:  -110°35'46; elev: 1430 m)
elev: 1430 m), breeding seasons in 2009–2013",Not tracked
Ammodramus savannarum ammolegus,Ruth 2017,https://doi.org/10.1674/0003-0031-178.1.64,12,new_21,wing chord,mm,63.5,6,0.5,NA,NA,NA,"Estimates originally extracted by Ruth 2017 from Williams 1991, cannot find reference",No,New Mexico,Not tracked
Ammodramus savannarum floridanus,Ruth 2017,https://doi.org/10.1674/0003-0031-178.1.64,13,new_21,wing chord,mm,59.7,99,1.4,NA,NA,NA,Estimates originally extracted by Ruth 2017 from Ragheb & Miller (unpub. data),No,Florida,Not tracked
Ammodramus savannarum perpallidus,Ruth 2017,https://doi.org/10.1674/0003-0031-178.1.64,14,new_21,wing chord,mm,62.6,105,1.4,NA,NA,NA,Estimates originally extracted by Ruth 2017 from Boyle (unpub. data),No,Kansas,Not tracked
Ammodramus savannarum perpallidus,Ruth 2017,https://doi.org/10.1674/0003-0031-178.1.64,15,new_21,wing chord,mm,62.1,42,2.2,NA,NA,NA,Estimates originally extracted by Ruth 2017 from Jones (unpub. data),No,Montana,Not tracked
Ammodramus savannarum perpallidus,Ruth 2017,https://doi.org/10.1674/0003-0031-178.1.64,16,new_21,wing chord,mm,61.7,34,1.8,NA,NA,NA,Estimates originally extracted by Ruth 2017 from Collier 1994 (master's thesis); cannot find reference,No,California,Not tracked
Ammodramus savannarum pratensis,Ammer et al. 2008,https://doi.org/10.1676/07-002.1,17,new,wing chord,mm,62.5,131,1.95,59.3,31,1.06,"Cited in Ruth 2017 but part of the original dataset, SE reportet instead of SD. Extracted separately to add the female estimates too",No,"Boone, Logan, Kanawha, and Fayette counties in southwestern West Virginia",Not tracked
Ammodramus savannarum pratensis,Ruth 2017,https://doi.org/10.1674/0003-0031-178.1.64,18,new_21,wing chord,mm,62.6,212,1.6,NA,NA,NA,Estimates originally extracted by Ruth 2017 from Wenny 2005; table 2 page 10 would need to be summarized to double check the estimate,No,Illinois,Not tracked
